lemma,poscode,surface
machine learning,3,machine learning,watson machine learning,ibm watson machine learning,ibm watson machine learning (spss),spss,spss modeler,modeler,wml,ml,watsonml
r,3,r,r studio,rstudio,r-studio
object storage,3,object storage,object-storage,Object-Storage,objectstorage
api,3,api,apis,API,APIs
shiny,3,shiny
spark,3,spark,sparks,pyspark
github,3,github,git
jupyter,3,jupyter
cloudant,3,cloudant,clodant,cloudent nosql,cloudent nosql db,Cloudent NoSQL DB
python,3,python
node-red,3,node-red,nodered,node red
Db2,3,Db2,db2,dash,dashdb
pandas,3,pandas
